iter	Passed	Remaining
0	57	57265
1	58	29092
2	58	19486
3	58	14676
4	59	11818
5	60	9981
6	60	8598
7	60	7558
8	61	6773
9	61	6133
10	62	5639
11	63	5208
12	63	4828
13	63	4501
14	64	4232
15	66	4074
16	66	3862
17	67	3668
18	67	3509
19	68	3353
20	69	3222
21	69	3094
22	70	2977
23	70	2867
24	71	2783
25	71	2690
26	72	2599
27	72	2515
28	73	2473
29	74	2424
30	75	2366
31	76	2307
32	77	2256
33	77	2199
34	77	2147
35	78	2112
36	79	2067
37	79	2023
38	80	1992
39	81	1953
40	81	1917
41	82	1886
42	83	1852
43	83	1816
44	83	1781
45	84	1749
46	85	1725
47	85	1700
48	86	1676
49	87	1654
50	87	1631
51	88	1621
52	89	1604
53	90	1578
54	90	1554
55	91	1535
56	91	1512
57	91	1489
58	92	1467
59	92	1447
60	92	1426
61	92	1406
62	93	1387
63	93	1371
64	94	1358
65	94	1342
66	95	1335
67	96	1322
68	98	1322
69	98	1309
70	99	1298
71	99	1287
72	101	1286
73	101	1271
74	101	1257
75	102	1242
76	102	1231
77	103	1217
78	103	1204
79	103	1191
80	103	1179
81	105	1177
82	105	1163
83	105	1154
84	106	1151
85	107	1145
86	108	1135
87	108	1128
88	109	1121
89	109	1110
90	110	1104
91	111	1097
92	111	1087
93	111	1078
94	112	1072
95	113	1064
96	113	1056
97	114	1049
98	114	1043
99	115	1039
100	115	1031
101	116	1024
102	117	1020
103	117	1013
104	117	1005
105	118	997
106	119	994
107	119	988
108	120	983
109	121	982
110	122	979
111	122	972
112	123	970
113	124	967
114	125	967
115	126	961
116	126	954
117	127	952
118	128	948
119	128	944
120	129	938
121	129	931
122	130	927
123	130	923
124	131	918
125	131	913
126	132	907
127	132	901
128	133	898
129	133	892
130	133	886
131	134	884
132	134	879
133	135	876
134	136	872
135	136	866
136	137	863
137	137	858
138	137	852
139	138	847
140	138	842
141	138	837
142	139	834
143	140	832
144	140	829
145	140	824
146	141	820
147	141	815
148	142	811
149	142	806
150	142	801
151	142	797
152	143	794
153	144	791
154	144	788
155	145	784
156	145	783
157	146	781
158	147	779
159	147	775
160	147	770
161	148	766
162	148	764
163	149	763
164	150	759
165	150	757
166	151	754
167	151	750
168	151	747
169	152	743
170	152	740
171	153	737
172	153	734
173	154	731
174	154	728
175	154	725
176	155	723
177	156	720
178	157	720
179	157	717
180	157	714
181	158	711
182	158	708
183	159	705
184	159	703
185	159	699
186	161	700
187	161	698
188	162	696
189	162	693
190	164	694
191	164	694
192	165	691
193	165	689
194	166	686
195	166	685
196	167	683
197	168	681
