iter	Passed	Remaining
0	1	104
1	1	72
2	1	61
3	2	53
4	2	51
5	3	50
6	3	48
7	4	46
8	4	45
9	4	43
10	5	42
11	5	41
12	6	40
13	6	40
14	6	39
15	7	38
16	11	54
17	11	52
18	11	50
19	12	49
20	12	47
21	13	46
22	13	45
23	13	44
24	14	43
25	15	43
26	16	43
27	16	43
28	17	42
29	18	42
30	18	41
31	19	40
32	23	47
33	23	46
34	24	45
35	24	43
36	25	42
37	25	41
38	25	40
39	26	39
40	26	38
41	26	37
42	27	36
43	27	35
44	27	34
45	28	33
46	29	32
47	30	32
48	30	32
49	31	31
50	31	30
51	32	29
52	32	29
53	33	28
54	33	27
55	35	27
56	35	26
57	35	26
58	36	25
59	36	24
60	37	23
61	37	23
62	38	22
63	39	22
64	39	21
65	40	20
66	40	20
67	41	19
68	41	18
69	42	18
70	42	17
71	42	16
72	43	16
73	44	15
74	44	14
75	45	14
76	45	13
77	46	13
78	47	12
79	47	11
80	47	11
81	48	10
82	48	10
83	49	9
84	49	8
85	50	8
86	50	7
87	52	7
88	53	6
89	53	5
90	54	5
91	54	4
92	55	4
93	55	3
94	56	2
95	56	2
96	57	1
97	58	1
98	58	0
99	59	0
